PLZ;Bezirk
12351;Berlin Neukoelln
12359;Berlin Neukoelln
12107;Berlin Neukoelln
12305;Berlin Neukoelln
12349;Berlin Neukoelln
12351;Berlin Neukoelln
12353;Berlin Neukoelln
12357;Berlin Neukoelln
12359;Berlin Neukoelln
12351;Berlin Neukoelln
12353;Berlin Neukoelln
12357;Berlin Neukoelln
10965;Berlin Neukoelln
10967;Berlin Neukoelln
12043;Berlin Neukoelln
12045;Berlin Neukoelln
12047;Berlin Neukoelln
12049;Berlin Neukoelln
12051;Berlin Neukoelln
12053;Berlin Neukoelln
12055;Berlin Neukoelln
12057;Berlin Neukoelln
12059;Berlin Neukoelln
12099;Berlin Neukoelln
12351;Berlin Neukoelln
12353;Berlin Neukoelln
12355;Berlin Neukoelln
12357;Berlin Neukoelln
12359;Berlin Neukoelln
13051;Pankow
13125;Pankow
13129;Pankow
13127;Pankow
13158;Pankow
13159;Pankow
13125;Pankow
13127;Pankow
13127;Pankow
13129;Pankow
13156;Pankow
13086;Pankow
13088;Pankow
13089;Pankow
13129;Pankow
13125;Pankow
13127;Pankow
13156;Pankow
13158;Pankow
13187;Pankow
10439;Pankow
13129;Pankow
13187;Pankow
13189;Pankow
10119;Pankow
10247;Pankow
10249;Pankow
10369;Pankow
10405;Pankow
10407;Pankow
10409;Pankow
10435;Pankow
10437;Pankow
10439;Pankow
13187;Pankow
13189;Pankow
13156;Pankow
13158;Pankow
13051;Pankow
13088;Pankow
13089;Pankow
13129;Pankow
13051;Pankow
13086;Pankow
13088;Pankow
13156;Pankow
13158;Pankow
13403;Reinickendorf
13509;Reinickendorf
13465;Reinickendorf
13503;Reinickendorf
13505;Reinickendorf
13465;Reinickendorf
13467;Reinickendorf
13505;Reinickendorf
13435;Reinickendorf
13469;Reinickendorf
13435;Reinickendorf
13439;Reinickendorf
13403;Reinickendorf
13405;Reinickendorf
13407;Reinickendorf
13409;Reinickendorf
13437;Reinickendorf
13509;Reinickendorf
13403;Reinickendorf
13405;Reinickendorf
13503;Reinickendorf
13505;Reinickendorf
13507;Reinickendorf
13509;Reinickendorf
13599;Reinickendorf
13629;Reinickendorf
13469;Reinickendorf
13403;Reinickendorf
13407;Reinickendorf
13435;Reinickendorf
13437;Reinickendorf
13439;Reinickendorf
13469;Reinickendorf
13509;Reinickendorf
13583;Spandau
13585;Spandau
13589;Spandau
13591;Spandau
14089;Spandau
13585;Spandau
13587;Spandau
13589;Spandau
13597;Spandau
13599;Spandau
14089;Spandau
13599;Spandau
13627;Spandau
13629;Spandau
13581;Spandau
13583;Spandau
13585;Spandau
13587;Spandau
13597;Spandau
14052;Spandau
13581;Spandau
13589;Spandau
13591;Spandau
13593;Spandau
13581;Spandau
13593;Spandau
13595;Spandau
13597;Spandau
12203;Steglitz-Zehlendorf
14169;Steglitz-Zehlendorf
14193;Steglitz-Zehlendorf
14195;Steglitz-Zehlendorf
14199;Steglitz-Zehlendorf
12167;Steglitz-Zehlendorf
12209;Steglitz-Zehlendorf
12247;Steglitz-Zehlendorf
12249;Steglitz-Zehlendorf
12277;Steglitz-Zehlendorf
12165;Steglitz-Zehlendorf
12203;Steglitz-Zehlendorf
12205;Steglitz-Zehlendorf
12207;Steglitz-Zehlendorf
12209;Steglitz-Zehlendorf
12247;Steglitz-Zehlendorf
12249;Steglitz-Zehlendorf
12279;Steglitz-Zehlendorf
14167;Steglitz-Zehlendorf
14169;Steglitz-Zehlendorf
14195;Steglitz-Zehlendorf
14109;Steglitz-Zehlendorf
14129;Steglitz-Zehlendorf
14163;Steglitz-Zehlendorf
14193;Steglitz-Zehlendorf
14129;Steglitz-Zehlendorf
12157;Steglitz-Zehlendorf
12161;Steglitz-Zehlendorf
12163;Steglitz-Zehlendorf
12165;Steglitz-Zehlendorf
12167;Steglitz-Zehlendorf
12169;Steglitz-Zehlendorf
12203;Steglitz-Zehlendorf
12247;Steglitz-Zehlendorf
14195;Steglitz-Zehlendorf
14197;Steglitz-Zehlendorf
14109;Steglitz-Zehlendorf
14163;Steglitz-Zehlendorf
14165;Steglitz-Zehlendorf
14167;Steglitz-Zehlendorf
14169;Steglitz-Zehlendorf
14129;Steglitz-Zehlendorf
10827;Tempelhof-Schoeneberg
12159;Tempelhof-Schoeneberg
12161;Tempelhof-Schoeneberg
12163;Tempelhof-Schoeneberg
14197;Tempelhof-Schoeneberg
12107;Tempelhof-Schoeneberg
12277;Tempelhof-Schoeneberg
12305;Tempelhof-Schoeneberg
12307;Tempelhof-Schoeneberg
12309;Tempelhof-Schoeneberg
12099;Tempelhof-Schoeneberg
12105;Tempelhof-Schoeneberg
12107;Tempelhof-Schoeneberg
12109;Tempelhof-Schoeneberg
12277;Tempelhof-Schoeneberg
12103;Tempelhof-Schoeneberg
12107;Tempelhof-Schoeneberg
12249;Tempelhof-Schoeneberg
12277;Tempelhof-Schoeneberg
12279;Tempelhof-Schoeneberg
12307;Tempelhof-Schoeneberg
10777;Tempelhof-Schoeneberg
10779;Tempelhof-Schoeneberg
10781;Tempelhof-Schoeneberg
10783;Tempelhof-Schoeneberg
10785;Tempelhof-Schoeneberg
10787;Tempelhof-Schoeneberg
10789;Tempelhof-Schoeneberg
10823;Tempelhof-Schoeneberg
10825;Tempelhof-Schoeneberg
10827;Tempelhof-Schoeneberg
10829;Tempelhof-Schoeneberg
10965;Tempelhof-Schoeneberg
12101;Tempelhof-Schoeneberg
12103;Tempelhof-Schoeneberg
12105;Tempelhof-Schoeneberg
12157;Tempelhof-Schoeneberg
12159;Tempelhof-Schoeneberg
10965;Tempelhof-Schoeneberg
12099;Tempelhof-Schoeneberg
12101;Tempelhof-Schoeneberg
12103;Tempelhof-Schoeneberg
12105;Tempelhof-Schoeneberg
12109;Tempelhof-Schoeneberg
12279;Tempelhof-Schoeneberg
12439;Treptow-Koepenick
12487;Treptow-Koepenick
12489;Treptow-Koepenick
12435;Treptow-Koepenick
12524;Treptow-Koepenick
12526;Treptow-Koepenick
12437;Treptow-Koepenick
12487;Treptow-Koepenick
12524;Treptow-Koepenick
12526;Treptow-Koepenick
12587;Treptow-Koepenick
12526;Treptow-Koepenick
12527;Treptow-Koepenick
12437;Treptow-Koepenick
12439;Treptow-Koepenick
12487;Treptow-Koepenick
12489;Treptow-Koepenick
12555;Treptow-Koepenick
12557;Treptow-Koepenick
12559;Treptow-Koepenick
12587;Treptow-Koepenick
12623;Treptow-Koepenick
12459;Treptow-Koepenick
12559;Treptow-Koepenick
12437;Treptow-Koepenick
12439;Treptow-Koepenick
10318;Treptow-Koepenick
12459;Treptow-Koepenick
12435;Treptow-Koepenick
12437;Treptow-Koepenick
12587;Treptow-Koepenick
12589;Treptow-Koepenick
12527;Treptow-Koepenick
;
